9.09.2005;6;2;1;85
7.06.2012;10;4;1;286
9.01.2010;4;3;1;216
14.06.2006;5;1;1;112
16.07.2009;7;2;1;162
18.10.2007;6;1;1;256
1.02.2017;8;3;1;44
21.03.2015;6;3;1;133
5.02.2014;4;3;1;15
19.03.2012;10;1;1;174
18.04.2009;8;2;1;59
21.03.2018;4;2;1;164
2.07.2011;9;2;1;264
14.02.2018;8;4;1;232
12.12.2017;1;2;1;149
25.11.2005;8;4;2;298
18.12.2017;8;4;2;137
9.11.2005;5;3;2;51
17.03.2008;10;4;2;178
20.08.2006;2;1;2;198
15.08.2016;1;4;2;161
29.08.2016;2;1;2;4
12.10.2013;4;3;2;232
8.04.2007;3;2;2;10
18.03.2018;4;1;2;234
10.04.2014;8;3;2;67
23.06.2008;7;2;2;251
29.10.2009;9;1;2;103
18.06.2006;3;3;2;96
24.08.2005;3;4;2;264
7.02.2009;2;4;3;147
25.12.2009;7;3;3;277
18.04.2013;5;4;3;59
13.08.2011;9;3;3;133
17.03.2011;9;2;3;144
19.10.2014;4;1;3;192
16.12.2011;10;4;3;293
11.04.2005;8;4;3;36
25.03.2005;7;4;3;91
3.07.2006;10;3;3;135
6.04.2009;5;4;3;191
20.07.2010;6;4;3;62
16.06.2012;3;3;3;54
11.09.2015;3;2;3;297
14.02.2007;7;2;3;84
18.08.2013;7;1;4;84
1.06.2017;10;2;4;16
10.10.2006;9;4;4;82
31.12.2011;3;2;4;9
26.03.2016;4;1;4;201
7.02.2009;10;4;4;255
20.03.2012;2;1;4;169
15.05.2009;2;3;4;161
21.11.2015;3;2;4;109
12.05.2016;7;2;4;92
1.10.2007;9;4;4;279
20.10.2015;5;4;4;66
11.07.2006;5;2;4;55
28.06.2008;3;2;4;272
7.08.2006;6;3;4;60
1.02.2018;1;1;5;169
2.04.2008;2;4;5;5
17.03.2008;2;3;5;221
8.10.2008;8;3;5;300
8.03.2017;9;1;5;83
13.08.2012;3;3;5;67
20.05.2016;4;1;5;158
29.10.2010;3;3;5;278
24.05.2007;6;1;5;141
